id,birth_year,sex,parental_education,childhood_sep,region,migration_background,baseline_health_18,income_32_eur,self_rated_health_32,mental_health_score_32,employment_status_32,emp_18,emp_19,emp_20,emp_21,emp_22,emp_23,emp_24,emp_25,emp_26,emp_27,emp_28,emp_29,emp_30,fam_18,fam_19,fam_20,fam_21,fam_22,fam_23,fam_24,fam_25,fam_26,fam_27,fam_28,fam_29,fam_30,house_18,house_19,house_20,house_21,house_22,house_23,house_24,house_25,house_26,house_27,house_28,house_29,house_30
11,1992,male,low,3,western_finland,0,3,12100,2,13.4,full_time,education,unemployed,unemployed,unemployed,part_time,unemployed,inactive_care,inactive_care,unemployed,part_time,unemployed,full_time,full_time,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_parent,partnered_with_child,partnered_with_child,partnered_with_child,partnered_with_child,parental_home,parental_home,parental_home,parental_home,parental_home,parental_home,renting,renting,renting,renting,renting,renting,renting
12,1990,female,medium,3,capital_region,0,3,34700,3,8.1,full_time,education,unemployed,education,full_time,full_time,full_time,full_time,inactive_care,inactive_care,part_time,part_time,full_time,full_time,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,partnered_no_child,partnered_no_child,parental_home,parental_home,parental_home,parental_home,renting,renting,renting,renting,renting,renting,renting,renting,renting
13,1993,male,medium,3,southern_finland,0,3,42400,3,7.9,full_time,education,inactive_care,full_time,full_time,full_time,full_time,full_time,full_time,full_time,full_time,unemployed,full_time,full_time,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_parent,single_parent,single_parent,single_parent,single_parent,single_parent,partnered_with_child,partnered_with_child,parental_home,parental_home,parental_home,parental_home,parental_home,parental_home,parental_home,renting,owner_occupied,owner_occupied,owner_occupied,owner_occupied,owner_occupied
14,1992,male,high,5,western_finland,0,5,60900,5,9.8,full_time,education,education,education,education,education,full_time,full_time,full_time,full_time,full_time,full_time,full_time,full_time,single_no_child,single_no_child,single_no_child,partnered_no_child,partnered_no_child,partnered_with_child,partnered_with_child,partnered_with_child,partnered_with_child,partnered_with_child,single_parent,partnered_with_child,partnered_with_child,parental_home,parental_home,parental_home,other_temporary,renting,renting,renting,owner_occupied,owner_occupied,owner_occupied,owner_occupied,owner_occupied,owner_occupied
15,1993,male,low,3,capital_region,0,3,31700,1,6.8,full_time,education,part_time,education,unemployed,unemployed,part_time,part_time,full_time,part_time,full_time,full_time,full_time,full_time,single_no_child,single_no_child,partnered_no_child,partnered_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,renting,renting,renting,renting,renting,renting,renting,renting,renting,renting,renting,renting,renting
16,1994,female,low,2,western_finland,0,4,45000,4,5.0,full_time,education,education,unemployed,full_time,full_time,full_time,full_time,inactive_care,inactive_care,part_time,part_time,full_time,full_time,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,partnered_no_child,partnered_no_child,partnered_no_child,partnered_no_child,partnered_no_child,partnered_no_child,partnered_no_child,partnered_no_child,parental_home,parental_home,parental_home,renting,renting,renting,renting,renting,renting,renting,renting,renting,renting
17,1993,female,medium,3,capital_region,0,5,60100,5,5.2,full_time,education,education,full_time,full_time,full_time,full_time,full_time,full_time,full_time,full_time,full_time,full_time,full_time,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,partnered_no_child,partnered_no_child,parental_home,parental_home,parental_home,parental_home,parental_home,parental_home,parental_home,parental_home,parental_home,renting,renting,renting,owner_occupied
18,1994,male,low,3,eastern_northern_finland,0,3,37700,3,6.5,full_time,education,education,unemployed,education,education,full_time,full_time,full_time,full_time,full_time,full_time,full_time,full_time,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,partnered_no_child,partnered_no_child,single_no_child,single_parent,single_parent,parental_home,parental_home,parental_home,renting,renting,renting,renting,renting,renting,renting,renting,renting,renting
19,1992,female,low,1,southern_finland,0,3,50600,3,7.6,full_time,education,education,full_time,unemployed,full_time,full_time,full_time,full_time,full_time,full_time,full_time,full_time,full_time,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,partnered_no_child,partnered_no_child,partnered_no_child,parental_home,parental_home,parental_home,parental_home,parental_home,parental_home,parental_home,parental_home,parental_home,parental_home,renting,renting,renting
20,1992,female,low,2,western_finland,1,4,39400,5,8.0,full_time,education,education,full_time,full_time,inactive_care,full_time,full_time,full_time,full_time,full_time,full_time,full_time,full_time,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_parent,single_parent,single_parent,single_parent,single_parent,single_parent,single_parent,single_parent,renting,renting,renting,renting,renting,renting,renting,renting,renting,renting,renting,renting,renting
21,1990,female,medium,2,capital_region,1,3,28300,3,6.7,full_time,education,education,education,education,unemployed,part_time,part_time,full_time,full_time,full_time,full_time,full_time,full_time,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,parental_home,parental_home,parental_home,parental_home,parental_home,parental_home,parental_home,parental_home,parental_home,parental_home,renting,renting,renting
22,1994,female,high,4,western_finland,0,4,49200,4,5.2,full_time,education,education,education,unemployed,education,full_time,full_time,full_time,full_time,full_time,full_time,full_time,full_time,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,parental_home,parental_home,parental_home,parental_home,parental_home,parental_home,renting,renting,renting,renting,renting,renting,renting
23,1990,male,low,3,capital_region,0,4,32300,3,8.9,full_time,education,education,education,full_time,part_time,full_time,full_time,full_time,inactive_care,part_time,part_time,full_time,full_time,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_parent,single_parent,single_parent,single_parent,single_parent,parental_home,parental_home,renting,renting,renting,renting,renting,renting,renting,renting,renting,renting,renting
24,1991,male,medium,3,western_finland,0,4,48700,4,9.7,full_time,education,education,education,education,education,full_time,full_time,full_time,full_time,full_time,full_time,full_time,full_time,single_no_child,single_no_child,single_no_child,single_no_child,single_parent,single_parent,single_parent,single_parent,single_parent,single_parent,single_parent,single_parent,single_parent,renting,renting,renting,renting,renting,renting,renting,renting,renting,renting,renting,renting,renting
25,1992,female,high,3,capital_region,0,4,51500,4,13.6,full_time,education,education,education,education,education,full_time,full_time,full_time,full_time,full_time,full_time,full_time,full_time,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,partnered_with_child,partnered_with_child,partnered_with_child,renting,renting,renting,renting,renting,renting,renting,renting,renting,renting,renting,renting,renting
26,1993,female,low,4,eastern_northern_finland,0,4,66600,4,6.6,full_time,education,education,full_time,full_time,full_time,part_time,full_time,full_time,full_time,full_time,full_time,full_time,full_time,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_parent,single_parent,single_parent,single_parent,single_parent,single_parent,parental_home,parental_home,parental_home,parental_home,parental_home,parental_home,parental_home,renting,renting,renting,renting,renting,renting
27,1990,female,medium,3,eastern_northern_finland,0,2,46000,2,5.0,full_time,education,education,unemployed,education,education,full_time,full_time,full_time,full_time,full_time,full_time,full_time,full_time,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,renting,renting,renting,renting,renting,renting,renting,renting,renting,renting,renting,renting,renting
28,1994,male,low,3,southern_finland,0,5,38600,5,6.6,full_time,education,education,education,education,education,full_time,full_time,full_time,full_time,part_time,full_time,full_time,full_time,single_no_child,single_no_child,single_no_child,single_no_child,partnered_no_child,partnered_no_child,partnered_no_child,partnered_no_child,partnered_no_child,partnered_no_child,partnered_no_child,partnered_no_child,partnered_no_child,parental_home,parental_home,parental_home,other_temporary,other_temporary,other_temporary,other_temporary,renting,owner_occupied,owner_occupied,owner_occupied,owner_occupied,owner_occupied
29,1990,male,medium,2,capital_region,0,4,42800,5,4.6,full_time,education,education,education,education,education,full_time,full_time,full_time,full_time,full_time,full_time,full_time,full_time,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,partnered_no_child,partnered_no_child,single_parent,single_parent,partnered_with_child,partnered_with_child,parental_home,parental_home,parental_home,parental_home,parental_home,renting,renting,renting,renting,renting,owner_occupied,owner_occupied,owner_occupied
30,1992,female,medium,5,western_finland,0,4,45500,3,7.0,full_time,education,education,education,education,education,full_time,full_time,full_time,full_time,full_time,full_time,full_time,full_time,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_parent,single_parent,single_parent,single_parent,single_parent,single_parent,parental_home,parental_home,parental_home,parental_home,parental_home,parental_home,other_temporary,renting,renting,renting,renting,renting,renting
31,1994,female,high,5,western_finland,0,4,48400,4,7.6,full_time,education,education,full_time,full_time,full_time,inactive_care,full_time,full_time,full_time,full_time,full_time,full_time,full_time,single_no_child,single_no_child,partnered_no_child,partnered_no_child,partnered_no_child,partnered_no_child,partnered_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,partnered_no_child,renting,renting,renting,renting,renting,renting,renting,renting,renting,renting,renting,renting,renting
32,1994,male,low,1,southern_finland,0,4,32200,3,4.8,full_time,full_time,education,education,full_time,full_time,full_time,full_time,unemployed,inactive_care,part_time,part_time,full_time,full_time,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_parent,single_parent,single_parent,single_parent,partnered_with_child,partnered_with_child,parental_home,parental_home,parental_home,parental_home,parental_home,parental_home,parental_home,parental_home,parental_home,parental_home,parental_home,parental_home,renting
33,1990,male,high,4,eastern_northern_finland,0,3,37500,3,5.6,full_time,education,full_time,education,education,education,full_time,full_time,full_time,full_time,full_time,full_time,full_time,full_time,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_parent,single_parent,single_parent,parental_home,parental_home,parental_home,parental_home,parental_home,parental_home,renting,renting,renting,renting,renting,renting,renting
34,1991,female,medium,4,southern_finland,1,3,32900,2,6.4,full_time,education,education,education,education,education,full_time,full_time,full_time,part_time,part_time,full_time,full_time,full_time,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_parent,single_parent,single_parent,renting,renting,renting,renting,renting,renting,renting,renting,renting,renting,renting,renting,renting
35,1994,female,medium,3,eastern_northern_finland,0,4,46900,5,2.9,full_time,education,education,education,education,education,full_time,full_time,full_time,full_time,full_time,full_time,full_time,full_time,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,partnered_no_child,partnered_no_child,partnered_no_child,partnered_no_child,parental_home,parental_home,parental_home,parental_home,parental_home,parental_home,parental_home,parental_home,parental_home,renting,renting,renting,renting
36,1993,female,medium,3,capital_region,0,4,58700,4,4.1,full_time,education,education,full_time,full_time,full_time,full_time,full_time,full_time,full_time,full_time,full_time,full_time,full_time,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,partnered_no_child,partnered_with_child,partnered_with_child,partnered_with_child,partnered_with_child,partnered_with_child,partnered_with_child,partnered_with_child,parental_home,parental_home,renting,renting,renting,renting,renting,renting,renting,renting,renting,renting,renting
37,1993,female,high,4,southern_finland,0,4,39800,4,4.6,full_time,education,education,education,full_time,full_time,full_time,full_time,inactive_care,unemployed,part_time,part_time,full_time,full_time,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_parent,partnered_with_child,renting,renting,renting,renting,renting,renting,renting,renting,renting,renting,renting,renting,renting
38,1991,male,high,4,capital_region,1,4,46900,3,0.9,full_time,education,education,education,unemployed,unemployed,part_time,part_time,full_time,full_time,full_time,full_time,full_time,full_time,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,partnered_no_child,partnered_no_child,partnered_no_child,partnered_no_child,parental_home,parental_home,parental_home,parental_home,parental_home,parental_home,parental_home,parental_home,parental_home,parental_home,renting,renting,renting
39,1992,male,medium,4,southern_finland,0,4,52200,5,9.0,full_time,education,education,education,education,education,full_time,full_time,full_time,full_time,full_time,part_time,full_time,full_time,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,parental_home,parental_home,parental_home,parental_home,parental_home,parental_home,parental_home,renting,renting,renting,renting,renting,renting
40,1990,female,high,3,capital_region,0,4,49900,4,8.2,full_time,education,education,full_time,full_time,full_time,full_time,full_time,full_time,full_time,full_time,full_time,full_time,full_time,single_no_child,single_no_child,single_no_child,single_no_child,single_parent,single_parent,single_parent,single_parent,single_parent,single_parent,single_parent,single_parent,single_parent,parental_home,parental_home,parental_home,renting,renting,renting,renting,renting,renting,renting,renting,renting,renting
41,1992,male,medium,3,southern_finland,0,4,36300,3,6.5,full_time,full_time,education,unemployed,education,education,full_time,unemployed,full_time,full_time,full_time,full_time,full_time,part_time,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_parent,single_parent,single_parent,single_parent,single_parent,single_parent,single_parent,single_parent,other_temporary,other_temporary,other_temporary,renting,renting,renting,renting,renting,renting,renting,renting,renting,renting
42,1994,female,low,1,eastern_northern_finland,1,4,48500,4,7.2,full_time,education,education,part_time,full_time,full_time,full_time,full_time,full_time,full_time,full_time,unemployed,full_time,full_time,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,partnered_no_child,partnered_no_child,partnered_no_child,parental_home,parental_home,parental_home,parental_home,parental_home,parental_home,parental_home,parental_home,parental_home,renting,renting,renting,renting
43,1992,male,low,1,eastern_northern_finland,0,3,26600,3,10.3,full_time,education,education,unemployed,inactive_care,full_time,unemployed,full_time,full_time,unemployed,full_time,part_time,full_time,part_time,single_no_child,single_no_child,single_no_child,single_no_child,partnered_no_child,partnered_with_child,partnered_with_child,partnered_with_child,partnered_with_child,partnered_with_child,partnered_with_child,partnered_with_child,partnered_with_child,parental_home,parental_home,parental_home,parental_home,parental_home,parental_home,parental_home,parental_home,renting,renting,renting,renting,renting
44,1992,male,high,5,capital_region,0,3,38000,3,1.0,full_time,education,education,education,education,education,full_time,full_time,unemployed,full_time,full_time,full_time,full_time,full_time,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,renting,renting,renting,renting,renting,renting,renting,renting,renting,renting,renting,renting,renting
45,1991,female,medium,2,southern_finland,0,4,28300,4,3.6,full_time,education,education,education,full_time,full_time,full_time,full_time,inactive_care,unemployed,part_time,part_time,full_time,full_time,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,partnered_no_child,partnered_no_child,partnered_no_child,partnered_no_child,partnered_no_child,partnered_with_child,partnered_with_child,single_parent,parental_home,parental_home,parental_home,parental_home,parental_home,renting,renting,renting,renting,renting,owner_occupied,owner_occupied,owner_occupied
46,1992,female,low,1,western_finland,0,3,19200,3,6.1,full_time,education,education,education,part_time,unemployed,part_time,part_time,inactive_care,inactive_care,part_time,part_time,full_time,full_time,single_no_child,partnered_no_child,partnered_no_child,partnered_no_child,partnered_no_child,partnered_no_child,partnered_no_child,partnered_no_child,partnered_no_child,partnered_no_child,partnered_no_child,partnered_no_child,partnered_no_child,parental_home,parental_home,renting,renting,renting,renting,renting,renting,renting,renting,renting,owner_occupied,owner_occupied
47,1992,male,high,5,capital_region,0,3,38500,2,10.8,unemployed,education,unemployed,unemployed,unemployed,part_time,unemployed,part_time,inactive_care,unemployed,part_time,unemployed,full_time,part_time,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,partnered_no_child,partnered_with_child,partnered_with_child,parental_home,parental_home,parental_home,parental_home,parental_home,parental_home,parental_home,parental_home,parental_home,parental_home,parental_home,parental_home,parental_home
48,1994,male,medium,2,western_finland,0,4,28800,2,11.2,full_time,education,education,unemployed,part_time,full_time,unemployed,full_time,part_time,unemployed,full_time,part_time,full_time,full_time,partnered_no_child,partnered_no_child,partnered_no_child,partnered_no_child,partnered_no_child,partnered_no_child,partnered_no_child,partnered_no_child,partnered_no_child,partnered_no_child,partnered_with_child,partnered_with_child,partnered_with_child,parental_home,parental_home,parental_home,parental_home,renting,renting,renting,renting,renting,renting,renting,renting,renting
49,1992,male,medium,3,southern_finland,0,2,39800,2,9.7,full_time,education,unemployed,education,education,education,full_time,full_time,full_time,full_time,full_time,full_time,full_time,full_time,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,partnered_no_child,partnered_with_child,partnered_with_child,partnered_with_child,partnered_with_child,partnered_with_child,parental_home,parental_home,parental_home,parental_home,parental_home,parental_home,parental_home,parental_home,parental_home,parental_home,renting,renting,renting
50,1990,female,high,3,southern_finland,0,3,32800,2,6.6,full_time,education,education,education,full_time,full_time,full_time,full_time,inactive_care,inactive_care,part_time,part_time,full_time,full_time,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,parental_home,parental_home,parental_home,parental_home,parental_home,parental_home,parental_home,parental_home,renting,renting,renting,renting,renting
51,1991,male,high,4,capital_region,0,4,50400,5,6.9,full_time,education,education,education,education,education,part_time,full_time,full_time,full_time,full_time,full_time,full_time,full_time,single_no_child,single_no_child,single_no_child,single_no_child,partnered_no_child,partnered_no_child,partnered_no_child,partnered_no_child,single_no_child,single_no_child,partnered_no_child,partnered_no_child,partnered_with_child,parental_home,parental_home,parental_home,parental_home,parental_home,parental_home,parental_home,parental_home,parental_home,parental_home,parental_home,other_temporary,renting
52,1992,female,high,3,eastern_northern_finland,0,4,61800,5,4.9,full_time,education,education,full_time,full_time,full_time,full_time,full_time,full_time,full_time,full_time,full_time,part_time,full_time,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,partnered_no_child,partnered_no_child,parental_home,parental_home,parental_home,parental_home,parental_home,other_temporary,renting,renting,renting,renting,renting,renting,renting
53,1993,male,high,2,western_finland,1,4,52700,4,9.4,full_time,education,education,education,full_time,full_time,unemployed,full_time,inactive_care,full_time,part_time,part_time,full_time,full_time,partnered_no_child,partnered_no_child,partnered_no_child,partnered_no_child,partnered_no_child,partnered_no_child,partnered_no_child,partnered_no_child,partnered_no_child,partnered_no_child,partnered_no_child,partnered_no_child,partnered_no_child,renting,renting,renting,renting,renting,renting,renting,renting,renting,renting,renting,renting,renting
54,1994,male,low,2,capital_region,0,4,42600,4,1.6,full_time,education,education,full_time,full_time,part_time,full_time,full_time,full_time,full_time,full_time,full_time,full_time,full_time,single_no_child,single_no_child,single_no_child,partnered_no_child,partnered_no_child,partnered_no_child,partnered_no_child,partnered_no_child,partnered_no_child,partnered_no_child,partnered_no_child,partnered_no_child,partnered_no_child,parental_home,parental_home,parental_home,parental_home,parental_home,parental_home,parental_home,renting,renting,renting,renting,renting,renting
55,1992,female,medium,4,eastern_northern_finland,0,3,39500,2,7.2,full_time,education,education,education,full_time,full_time,full_time,full_time,inactive_care,inactive_care,part_time,part_time,full_time,full_time,single_no_child,single_no_child,single_no_child,single_no_child,single_parent,single_parent,single_parent,single_parent,single_parent,single_parent,single_parent,single_parent,single_parent,other_temporary,other_temporary,renting,renting,renting,renting,owner_occupied,owner_occupied,owner_occupied,owner_occupied,owner_occupied,owner_occupied,owner_occupied
56,1990,female,high,4,western_finland,0,3,44600,3,3.8,full_time,education,education,education,education,education,full_time,full_time,full_time,full_time,full_time,full_time,full_time,full_time,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,parental_home,other_temporary,other_temporary,renting,renting,renting,renting,renting,renting,renting,renting,renting,renting
57,1990,male,low,3,southern_finland,0,3,61000,2,12.4,full_time,education,education,education,education,education,full_time,full_time,part_time,full_time,full_time,full_time,full_time,full_time,single_no_child,single_no_child,single_no_child,single_no_child,single_parent,single_parent,single_parent,single_parent,single_parent,single_parent,partnered_with_child,partnered_with_child,partnered_with_child,renting,renting,renting,renting,renting,renting,renting,renting,renting,renting,renting,renting,owner_occupied
58,1991,male,high,4,capital_region,0,4,47500,5,5.3,full_time,education,education,education,education,education,full_time,full_time,full_time,full_time,full_time,full_time,full_time,full_time,single_no_child,single_no_child,single_no_child,single_no_child,partnered_no_child,partnered_no_child,partnered_no_child,partnered_no_child,partnered_no_child,partnered_no_child,partnered_no_child,partnered_with_child,partnered_with_child,parental_home,parental_home,parental_home,parental_home,parental_home,renting,renting,renting,renting,owner_occupied,owner_occupied,owner_occupied,owner_occupied
59,1992,male,high,3,southern_finland,0,4,45800,4,10.8,full_time,education,education,education,education,education,full_time,full_time,full_time,full_time,full_time,full_time,full_time,full_time,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_parent,single_parent,single_parent,single_parent,single_parent,parental_home,parental_home,parental_home,parental_home,parental_home,parental_home,parental_home,renting,renting,renting,renting,renting,renting
60,1992,male,medium,1,western_finland,0,4,51600,5,11.3,full_time,part_time,education,full_time,full_time,full_time,full_time,full_time,full_time,full_time,full_time,full_time,full_time,full_time,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,partnered_no_child,partnered_no_child,parental_home,parental_home,parental_home,parental_home,parental_home,renting,renting,renting,renting,renting,renting,renting,renting
61,1994,male,medium,4,capital_region,0,3,61500,3,10.5,part_time,education,education,education,unemployed,education,full_time,full_time,full_time,full_time,full_time,full_time,full_time,full_time,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,single_no_child,partnered_no_child,partnered_no_child,partnered_with_child,parental_home,renting,renting,renting,renting,renting,owner_occupied,owner_occupied,owner_occupied,owner_occupied,owner_occupied,owner_occupied,owner_occupied
